MotionNumber;TouchNumber;XCoordinate;YCoordinate;Size;Time;Type
0;0;456.3661804199219;957.2146606445313;0.11538462340831757;376604197;DU
0;0;466.34771728515625;880.8134155273438;0.09615384787321091;376604215;DU
0;0;475.4156799316406;827.8978881835938;0.1538461595773697;376604232;DU
0;0;484.0438537597656;765.5219116210938;0.11538462340831757;376604249;DU
0;0;492.3735656738281;698.4479370117188;0.17307692766189575;376604265;DU
0;0;506.5421142578125;614.8803100585938;0.19230769574642181;376604282;DU
0;0;517.2815551757813;579.509765625;0.13461539149284363;376604291;DU
1;0;458.3634033203125;916.2467041015625;0.1538461595773697;376604764;DU
1;0;458.3634033203125;916.2467041015625;0.1538461595773697;376604815;DU
1;0;450.2019958496094;869.9010009765625;0.13461539149284363;376604832;DU
1;0;444.9703674316406;809.8411254882813;0.11538462340831757;376604849;DU
1;0;442.3855895996094;732.318603515625;0.11538462340831757;376604865;DU
1;0;444.9989929199219;654.0258178710938;0.19230769574642181;376604882;DU
1;0;453.7801513671875;578.3009033203125;0.19230769574642181;376604899;DU
1;0;470.8460693359375;514.5604248046875;0.17307692766189575;376604915;DU
1;0;490.460693359375;461.5569152832031;0.1538461595773697;376604932;DU
1;0;501.3037414550781;436.62139892578125;0.1538461595773697;376604942;DU
2;0;480.3328857421875;927.2380981445313;0.11538462340831757;376605331;DU
2;0;480.3328857421875;927.2380981445313;0.13461539149284363;376605346;DU
2;0;480.3328857421875;927.2380981445313;0.1538461595773697;376605362;DU
2;0;480.3328857421875;927.2380981445313;0.17307692766189575;376605382;DU
2;0;483.4790954589844;900.47900390625;0.13461539149284363;376605399;DU
2;0;485.21075439453125;839.5;0.13461539149284363;376605416;DU
2;0;482.6202697753906;777.9771728515625;0.11538462340831757;376605432;DU
2;0;481.0040588378906;715.9445190429688;0.19230769574642181;376605449;DU
2;0;486.8642883300781;644.8580932617188;0.1538461595773697;376605466;DU
2;0;496.3106689453125;564.521484375;0.1538461595773697;376605482;DU
2;0;531.2713623046875;483.896240234375;0.13461539149284363;376605499;DU
3;0;464.3550720214844;915.2474365234375;0.09615384787321091;376605932;DU
3;0;464.3550720214844;915.2474365234375;0.13461539149284363;376605944;DU
3;0;466.45599365234375;855.944091796875;0.17307692766189575;376605966;DU
3;0;469.9282531738281;803.3804931640625;0.11538462340831757;376605982;DU
3;0;477.64739990234375;736.7743530273438;0.1538461595773697;376605999;DU
3;0;488.4620361328125;661.76806640625;0.17307692766189575;376606016;DU
3;0;500.4967041015625;583.7268676757813;0.17307692766189575;376606032;DU
3;0;528.266357421875;501.5706787109375;0.1538461595773697;376606049;DU
3;0;537.2538452148438;480.5870361328125;0.11538462340831757;376606054;DU
4;0;465.35369873046875;937.2302856445313;0.05769231170415878;376606432;DU
4;0;465.35369873046875;937.2302856445313;0.11538462340831757;376606466;DU
4;0;465.35369873046875;937.2302856445313;0.11538462340831757;376606499;DU
4;0;455.4195861816406;859.8639526367188;0.13461539149284363;376606516;DU
4;0;451.24700927734375;800.2492065429688;0.13461539149284363;376606532;DU
4;0;449.2256164550781;742.115966796875;0.11538462340831757;376606549;DU
4;0;450.65289306640625;673.4951171875;0.1538461595773697;376606566;DU
4;0;465.8641357421875;593.9003295898438;0.19230769574642181;376606582;DU
4;0;505.4616394042969;505.37152099609375;0.19230769574642181;376606599;DU
4;0;555.2288208007813;428.1280212402344;0.17307692766189575;376606615;DU
4;0;567.2122192382813;413.63934326171875;0.1538461595773697;376606621;DU
5;0;464.3550720214844;955.2162475585938;0.07692307978868484;376607016;DU
5;0;464.3550720214844;955.2162475585938;0.17307692766189575;376607032;DU
5;0;454.999267578125;915.429931640625;0.13461539149284363;376607049;DU
5;0;446.89447021484375;859.0413208007813;0.13461539149284363;376607066;DU
5;0;443.4294128417969;795.3151245117188;0.17307692766189575;376607082;DU
5;0;443.9407043457031;727.2021484375;0.13461539149284363;376607099;DU
5;0;448.8967590332031;651.0811767578125;0.1538461595773697;376607116;DU
5;0;467.5501403808594;578.1837158203125;0.19230769574642181;376607132;DU
5;0;495.9417724609375;500.88970947265625;0.1538461595773697;376607149;DU
5;0;511.2898864746094;479.58782958984375;0.17307692766189575;376607156;DU
6;0;462.35784912109375;949.220947265625;0.09615384787321091;376607545;DU
6;0;462.35784912109375;949.220947265625;0.13461539149284363;376607566;DU
6;0;459.3402099609375;928.6885986328125;0.1538461595773697;376607582;DU
6;0;454.93951416015625;876.4196166992188;0.17307692766189575;376607599;DU
6;0;454.3689270019531;803.259521484375;0.1538461595773697;376607616;DU
6;0;459.735595703125;731.2457275390625;0.13461539149284363;376607632;DU
6;0;480.0750732421875;646.654296875;0.13461539149284363;376607649;DU
6;0;502.498291015625;570.4598388671875;0.13461539149284363;376607666;DU
6;0;533.4580078125;501.852783203125;0.17307692766189575;376607682;DU
7;0;452.3717041015625;930.2357788085938;0.1538461595773697;376608070;DU
7;0;452.3717041015625;930.2357788085938;0.13461539149284363;376608116;DU
7;0;448.3641052246094;847.8255615234375;0.11538462340831757;376608132;DU
7;0;447.97222900390625;788.7588500976563;0.11538462340831757;376608149;DU
7;0;448.37725830078125;735.68603515625;0.1538461595773697;376608166;DU
7;0;453.54412841796875;682.4498901367188;0.17307692766189575;376608182;DU
7;0;463.9933776855469;628.6591796875;0.17307692766189575;376608199;DU
7;0;483.00128173828125;566.6129150390625;0.19230769574642181;376608216;DU
7;0;519.757080078125;500.791259765625;0.17307692766189575;376608232;DU
7;0;555.2685546875;453.8773193359375;0.21153846383094788;376608249;DU
8;0;456.3661804199219;933.2333984375;0.1538461595773697;376608615;DU
8;0;456.3661804199219;933.2333984375;0.13461539149284363;376608647;DU
8;0;448.70849609375;872.0858764648438;0.11538462340831757;376608666;DU
8;0;444.0147399902344;805.1727294921875;0.13461539149284363;376608683;DU
8;0;443.3841857910156;729.7821655273438;0.17307692766189575;376608699;DU
8;0;447.27752685546875;662.1289672851563;0.1538461595773697;376608716;DU
8;0;458.0931091308594;598.8480834960938;0.19230769574642181;376608733;DU
8;0;482.135009765625;534.9324951171875;0.19230769574642181;376608749;DU
8;0;519.6734619140625;469.2705078125;0.17307692766189575;376608766;DU
8;0;537.2538452148438;448.6120300292969;0.19230769574642181;376608772;DU
9;0;461.3592224121094;935.2318725585938;0.1538461595773697;376609183;DU
9;0;461.3592224121094;935.2318725585938;0.13461539149284363;376609199;DU
9;0;455.1474609375;885.50732421875;0.13461539149284363;376609216;DU
9;0;453.52655029296875;836.6280517578125;0.11538462340831757;376609233;DU
9;0;451.9388122558594;775.4501342773438;0.17307692766189575;376609249;DU
9;0;458.45550537109375;718.52490234375;0.19230769574642181;376609266;DU
9;0;470.75982666015625;655.18701171875;0.19230769574642181;376609283;DU
9;0;486.2753601074219;585.9215087890625;0.1538461595773697;376609299;DU
9;0;517.0286254882813;513.4545288085938;0.19230769574642181;376609316;DU
9;0;554.77001953125;450.1075439453125;0.17307692766189575;376609333;DU
10;0;463.3564453125;930.2357788085938;0.11538462340831757;376609759;DU
10;0;463.3564453125;930.2357788085938;0.13461539149284363;376609780;DU
10;0;463.3564453125;930.2357788085938;0.11538462340831757;376609799;DU
10;0;463.3564453125;930.2357788085938;0.1538461595773697;376609816;DU
10;0;453.9720764160156;883.2854614257813;0.17307692766189575;376609833;DU
10;0;448.6241760253906;826.9466552734375;0.11538462340831757;376609849;DU
10;0;446.1846923828125;758.9580688476563;0.1538461595773697;376609865;DU
10;0;447.950927734375;688.8169555664063;0.17307692766189575;376609882;DU
10;0;456.5566101074219;615.3212280273438;0.17307692766189575;376609899;DU
10;0;479.97613525390625;545.6590576171875;0.1538461595773697;376609915;DU
10;0;499.3065185546875;502.56988525390625;0.1538461595773697;376609926;DU
11;0;461.3592224121094;933.2333984375;0.11538462340831757;376610332;DU
11;0;461.3592224121094;933.2333984375;0.1538461595773697;376610349;DU
11;0;453.96240234375;896.2268676757813;0.11538462340831757;376610365;DU
11;0;448.5901184082031;835.1791381835938;0.11538462340831757;376610382;DU
11;0;447.378662109375;768.5608520507813;0.11538462340831757;376610399;DU
11;0;449.1509094238281;699.9780883789063;0.17307692766189575;376610415;DU
11;0;459.8564453125;632.6189575195313;0.1538461595773697;376610432;DU
11;0;481.1299133300781;563.866455078125;0.1538461595773697;376610449;DU
11;0;512.3600463867188;493.42352294921875;0.17307692766189575;376610465;DU
11;0;523.2732543945313;469.59564208984375;0.17307692766189575;376610472;DU
12;0;466.352294921875;945.2240600585938;0.11538462340831757;376610882;DU
12;0;466.352294921875;945.2240600585938;0.1538461595773697;376610899;DU
12;0;466.352294921875;945.2240600585938;0.11538462340831757;376610915;DU
12;0;451.1026611328125;867.3008422851563;0.13461539149284363;376610932;DU
12;0;447.647705078125;812.1775512695313;0.1538461595773697;376610949;DU
