MotionNumber;TouchNumber;XCoordinate;YCoordinate;Size;Time;Type
0;0;255.6449432373047;752.3746948242188;0.19230769574642181;373691464;DU
0;0;265.6941223144531;664.3910522460938;0.19230769574642181;373691481;DU
0;0;301.0899963378906;539.5537109375;0.17307692766189575;373691497;DU
0;0;352.91986083984375;412.7493896484375;0.1538461595773697;373691514;DU
0;0;405.7585754394531;296.08697509765625;0.19230769574642181;373691531;DU
0;0;440.38836669921875;235.77828979492188;0.17307692766189575;373691540;DU
1;0;376.013916015625;780.0215454101563;0.1538461595773697;373694314;DU
1;0;378.73297119140625;738.8887329101563;0.1538461595773697;373694331;DU
1;0;382.60406494140625;684.0906982421875;0.19230769574642181;373694347;DU
1;0;387.3510437011719;620.3280639648438;0.17307692766189575;373694364;DU
1;0;394.9814453125;564.8110961914063;0.1538461595773697;373694381;DU
1;0;408.8760986328125;503.3121337890625;0.13461539149284363;373694397;DU
1;0;424.1097717285156;442.51092529296875;0.17307692766189575;373694414;DU
1;0;435.2119140625;384.26849365234375;0.1538461595773697;373694431;DU
1;0;446.2173156738281;333.30419921875;0.17307692766189575;373694447;DU
1;0;457.45782470703125;292.51239013671875;0.09615384787321091;373694464;DU
1;0;458.3634033203125;288.7369384765625;0.13461539149284363;373694466;DU
2;0;451.37310791015625;739.3848266601563;0.1538461595773697;373694812;DU
2;0;446.8399353027344;657.423095703125;0.1538461595773697;373694831;DU
2;0;447.733642578125;573.67529296875;0.13461539149284363;373694848;DU
2;0;463.7052307128906;477.9019775390625;0.13461539149284363;373694864;DU
2;0;481.1023864746094;395.27081298828125;0.13461539149284363;373694881;DU
2;0;495.42987060546875;325.3669738769531;0.1538461595773697;373694898;DU
2;0;498.30792236328125;303.7252197265625;0.1538461595773697;373694907;DU
3;0;333.5583190917969;769.7567749023438;0.19230769574642181;373695064;DU
3;0;347.1877746582031;694.2630004882813;0.17307692766189575;373695081;DU
3;0;370.7620849609375;591.0816650390625;0.1538461595773697;373695098;DU
