;MotionId;Type;XVec;YVec;VecModule;Duration;Distance;AvrgSpeed;AvrgSize;XStart;YStart;XEnd;YEnd
0;0;DU;61.914031982421875;-480.62451171875;484.5959849412779;147;485.1171968807381;3.3001169855832524;0.11153846643865109;511.2898864746094;918.2451171875;573.2039184570312;437.62060546875
1;1;DU;-7.170166015625;-468.62152099609386;468.67637152024645;168;483.01811669891936;2.8751078374935677;0.15209790725599637;556.2274780273439;973.2022094726564;550.2357788085939;500.5714111328125
2;2;DU;-26.9625244140625;-470.63232421875;471.40403299327164;146;479.9689888623577;3.287458827824368;0.1326923131942749;576.19970703125;970.2045288085938;549.2371826171875;499.57220458984375
3;3;DU;-27.961181640624886;-456.64324951171864;457.49850819796313;120;461.7798576815034;3.848165480679195;0.14529915153980255;567.2122192382812;969.205322265625;539.2510375976564;512.5620727539064
4;4;DU;-52.926513671875;-476.627685546875;479.55726089720497;126;492.049239445578;3.9051526940125236;0.13675214267439312;596.1719970703125;985.19287109375;543.2454833984375;508.565185546875
5;5;DU;-35.437377929687386;-448.507568359375;449.9053751959082;108;458.77059220172896;4.247875853719712;0.14663462154567242;569.6953735351562;943.0836791992188;534.2579956054689;494.57611083984375
6;6;DU;-11.9783935546875;-513.49853515625;513.6382263030717;148;520.0583976675805;3.5139080923485166;0.13675214267439312;574.2025146484375;973.2022094726564;562.22412109375;459.7036743164063
7;7;DU;-6.99029541015625;-548.5714111328125;548.6159470359629;137;562.141304001078;4.1032211970881605;0.12692308314144612;573.2039184570312;958.2138671875;566.213623046875;409.6424560546875
8;8;DU;-23.96673583984375;-498.6104736328125;499.1861464856116;147;507.40170119600964;3.451712253034079;0.14615385234355927;570.2080688476562;964.209228515625;546.2413330078125;465.5987548828125
9;9;DU;-36.94873046875;-444.6525878906249;446.18508782912306;111;449.7645358698171;4.0519327555839375;0.13942308258265257;569.20947265625;966.2076416015624;532.2607421875;521.5550537109375
10;10;DU;-28.95977783203125;-490.6166992187499;491.47066472413377;139;494.88740959659424;3.560341076234491;0.11923077628016472;575.2011108398438;971.2037353515624;546.2413330078125;480.5870361328125
11;11;DU;-46.934814453125;-381.7017822265625;384.5765559192128;101;388.32815102528565;3.844833178468175;0.13942308351397514;593.1761474609375;960.2123413085938;546.2413330078125;578.5105590820312
12;12;DU;-36.948669433593636;-473.6300048828125;475.069032560749;200;479.84000863959346;2.3992000431979674;0.1416083967143839;588.18310546875;970.2045288085938;551.2344360351564;496.57452392578125
13;13;DU;-53.925048828125;-360.71820068359375;364.7266527079219;126;368.76948148641526;2.9267419165588513;0.13461539066500133;576.19970703125;952.2185668945312;522.274658203125;591.5003662109375
14;14;DU;-18.973632812499886;-468.6339111328125;469.0178476409404;144;473.70081832821927;3.2895890161681893;0.1500000052154064;575.2011108398438;970.2045288085938;556.2274780273439;501.57061767578125
15;15;DU;-16.9764404296875;-493.6143798828125;493.9062214193665;162;501.96734298683094;3.098563845597722;0.14510490135713058;563.2177734375;949.220947265625;546.2413330078125;455.6065673828125
16;16;DU;-19.909240722656136;-477.6787719726561;478.0934919651777;150;489.68492686020636;3.2645661790680425;0.151923082023859;566.213623046875;946.2232666015624;546.3043823242189;468.5444946289063
17;17;DU;-40.969909667968864;-369.63232421875;371.8959378718147;117;374.6278223333532;3.201947199430369;0.14423077553510666;558.2246704101564;935.2318725585938;517.2547607421875;565.5995483398438
18;18;DU;-12.273986816406136;-484.25213623046875;484.40766116582193;116;491.2876776942153;4.235238600812201;0.16105769760906696;557.22607421875;924.2404174804688;544.9520874023439;439.98828125
19;19;DU;18.973632812499886;-503.6065979003906;503.96389175307917;146;510.3976405633853;3.495874250434146;0.13269231356680394;551.2344360351564;930.2357788085938;570.2080688476562;426.6291809082031
20;20;DU;-31.955627441406136;-410.67913818359375;411.92052226660576;126;418.0515793249033;3.317869677181772;0.14316239953041077;555.2288818359375;929.2365112304688;523.2732543945314;518.557373046875
21;21;DU;-40.943115234375;-417.6737060546874;419.6756645488903;136;426.0804689469293;3.132944624609774;0.14807692915201187;557.22607421875;932.2341918945312;516.282958984375;514.5604858398439
22;22;DU;-37.947326660156136;-456.64324951171864;458.2172595235521;126;463.7181572987992;3.680302835704756;0.1388888946837849;563.2177734375;936.2310791015624;525.2704467773439;479.58782958984375
23;23;DU;-49.930664062499886;-419.6721191406249;422.63194247205814;111;428.1170270495344;3.856910153599409;0.13942308351397514;567.2122192382812;937.2302856445312;517.2815551757814;517.5581665039064
24;24;DU;-20.7242431640625;-393.18829345703125;393.7340833181396;100;402.42398213044464;4.024239821304446;0.14423077460378408;551.4408569335939;868.3848266601562;531.2621459960939;472.59326171875
25;25;DU;-35.91876220703125;-461.434600830078;462.8304747115283;151;470.91772049566197;3.118660400633523;0.13653846755623816;564.2163696289062;921.2427978515624;528.297607421875;459.8081970214844
26;26;DU;-46.934814453125;-448.6495361328125;451.0978641934997;110;457.50440740957896;4.159130976450718;0.1418269295245409;571.2066650390625;949.220947265625;524.2718505859375;500.5714111328125
27;27;DU;-5.991638183593864;-467.6346435546875;467.67302635563954;147;472.9194757945758;3.2171392911195635;0.15811966359615326;550.2357788085939;928.2373046875;544.244140625;460.6026611328125
28;28;DU;-49.93063354492199;-405.6831054687499;408.7442357134424;136;412.20942805604597;3.0309516768826907;0.14316239870256847;558.2246704101564;935.2318725585938;508.2940368652344;529.5487670898439
29;29;DU;0.9998168945313637;-498.7969055175781;498.7979075615037;150;505.39168692212127;3.369277912814142;0.14230769872665405;543.2454833984375;918.2451171875;544.2453002929689;419.4482116699219
