Номер действия;Номер касания;Координата X;Координата Y;Размер касания;Метка времени;Тип
0;0;235.26025390625;595.2456665039063;0.23076924681663513;376447550;DU
0;0;258.7990417480469;540.0127563476563;0.17307692766189575;376447566;DU
0;0;285.87432861328125;467.86273193359375;0.1538461595773697;376447583;DU
0;0;309.7873229980469;380.9827880859375;0.1538461595773697;376447600;DU
0;0;325.0086364746094;297.1324768066406;0.1538461595773697;376447616;DU
0;0;331.881591796875;223.99197387695313;0.11538462340831757;376447633;DU
0;0;333.90789794921875;165.4546356201172;0.1538461595773697;376447650;DU
0;0;334.5353698730469;126.25833129882813;0.13461539149284363;376447666;DU
0;0;333.9774475097656;95.5072021484375;0.17307692766189575;376447683;DU
0;0;333.5367736816406;88.89305114746094;0.17307692766189575;376447688;DU
1;0;516.282958984375;680.430908203125;0.13461539149284363;376447866;DU
1;0;506.817626953125;605.1780395507813;0.13461539149284363;376447883;DU
1;0;489.84417724609375;527.6170043945313;0.07692307978868484;376447900;DU
1;0;465.6559753417969;434.6562805175781;0.07692307978868484;376447916;DU
1;0;453.14794921875;361.56243896484375;0.11538462340831757;376447933;DU
1;0;451.37310791015625;336.699462890625;0.21153846383094788;376447939;DU
2;0;152.7877960205078;681.4301147460938;0.19230769574642181;376448033;DU
2;0;210.84664916992188;610.4280395507813;0.19230769574642181;376448050;DU
2;0;247.1009979248047;541.4945068359375;0.1538461595773697;376448066;DU
2;0;280.7978820800781;445.3172912597656;0.09615384787321091;376448083;DU
2;0;304.5664367675781;346.9518127441406;0.13461539149284363;376448100;DU
2;0;318.0894775390625;258.8655090332031;0.1538461595773697;376448116;DU
2;0;323.60223388671875;184.25962829589844;0.1538461595773697;376448133;DU
2;0;325.6500244140625;127.38444519042969;0.1538461595773697;376448150;DU
2;0;326.5464782714844;85.50990295410156;0.1538461595773697;376448166;DU
2;0;325.2655029296875;54.547950744628906;0.13461539149284363;376448183;DU
2;0;322.746337890625;34.908180236816406;0.13461539149284363;376448200;DU
2;0;322.5520324707031;33.93598937988281;0.13461539149284363;376448200;DU
3;0;480.3328857421875;652.4527587890625;0.11538462340831757;376448316;DU
