Номер действия;Номер касания;Координата X;Координата Y;Размер касания;Метка времени;Тип
0;0;322.5520324707031;773.3583374023438;0.23076924681663513;371739000;DU
0;0;328.543701171875;698.1220092773438;0.23076924681663513;371739030;DU
0;0;317.1615295410156;617.8179321289063;0.17307692766189575;371739047;DU
0;0;260.470947265625;500.24566650390625;0.13461539149284363;371739063;DU
0;0;191.8301239013672;396.6381530761719;0.1538461595773697;371739080;DU
0;0;175.7559051513672;374.6697998046875;0.17307692766189575;371739084;DU
1;0;507.2954406738281;764.3653564453125;0.11538462340831757;371739410;DU
1;0;496.10601806640625;723.0254516601563;0.13461539149284363;371739430;DU
1;0;485.6348571777344;672.9833984375;0.11538462340831757;371739447;DU
1;0;487.3597412109375;625.3760986328125;0.13461539149284363;371739463;DU
1;0;491.8352966308594;572.6270751953125;0.13461539149284363;371739480;DU
1;0;505.38214111328125;522.8850708007813;0.11538462340831757;371739497;DU
1;0;528.237548828125;472.25689697265625;0.17307692766189575;371739513;DU
1;0;555.0615234375;424.98468017578125;0.11538462340831757;371739530;DU
1;0;565.2149658203125;410.6416931152344;0.11538462340831757;371739536;DU
2;0;272.6213684082031;737.3864135742188;0.1538461595773697;371739863;DU
2;0;279.9432678222656;645.0614624023438;0.17307692766189575;371739880;DU
2;0;272.1336669921875;557.3876342773438;0.19230769574642181;371739897;DU
2;0;245.26036071777344;460.4767150878906;0.1538461595773697;371739913;DU
2;0;211.63519287109375;378.2117004394531;0.13461539149284363;371739930;DU
2;0;175.0736541748047;310.5614013671875;0.09615384787321091;371739947;DU
2;0;155.78363037109375;279.74395751953125;0.17307692766189575;371739957;DU
3;0;469.34814453125;736.38720703125;0.07692307978868484;371746397;DU
3;0;469.34814453125;736.38720703125;0.11538462340831757;371746414;DU
3;0;469.34814453125;736.38720703125;0.19230769574642181;371746447;DU
3;0;462.1033935546875;702.2127075195313;0.21153846383094788;371746464;DU
3;0;463.6144104003906;668.5988159179688;0.19230769574642181;371746480;DU
3;0;470.3955993652344;633.8521728515625;0.1538461595773697;371746497;DU
3;0;483.40057373046875;595.8527221679688;0.17307692766189575;371746514;DU
3;0;503.04876708984375;557.7622680664063;0.11538462340831757;371746530;DU
3;0;518.2801513671875;532.5464477539063;0.13461539149284363;371746537;DU
4;0;259.639404296875;809.3302001953125;0.21153846383094788;371746914;DU
4;0;259.639404296875;809.3302001953125;0.21153846383094788;371746930;DU
4;0;259.639404296875;809.3302001953125;0.19230769574642181;371746957;DU
4;0;267.6282958984375;771.35986328125;0.19230769574642181;371746978;DU
4;0;267.10137939453125;724.1902465820313;0.19230769574642181;371746997;DU
4;0;259.7539978027344;654.4839477539063;0.21153846383094788;371747014;DU
4;0;242.0673370361328;596.9268188476563;0.13461539149284363;371747030;DU
4;0;219.98789978027344;535.8657836914063;0.1538461595773697;371747047;DU
4;0;212.70457458496094;518.557373046875;0.11538462340831757;371747052;DU
5;0;487.32318115234375;761.36767578125;0.1538461595773697;371747483;DU
5;0;487.32318115234375;761.36767578125;0.13461539149284363;371747514;DU
5;0;484.1165771484375;744.2554321289063;0.13461539149284363;371747530;DU
5;0;477.970947265625;705.8544311523438;0.21153846383094788;371747547;DU
5;0;474.3412170410156;662.7042846679688;0.1538461595773697;371747564;DU
5;0;478.1968078613281;622.014892578125;0.13461539149284363;371747580;DU
5;0;489.5234069824219;575.927001953125;0.17307692766189575;371747597;DU
5;0;510.408447265625;530.2685546875;0.1538461595773697;371747614;DU
5;0;540.6337890625;486.08819580078125;0.09615384787321091;371747630;DU
6;0;334.5353698730469;761.36767578125;0.23076924681663513;371748113;DU
6;0;334.5353698730469;761.36767578125;0.25;371748129;DU
6;0;334.5353698730469;761.36767578125;0.26923078298568726;371748145;DU
6;0;334.5353698730469;761.36767578125;0.2884615361690521;371748163;DU
6;0;334.5353698730469;761.36767578125;0.26923078298568726;371748171;DU
6;0;334.5353698730469;761.36767578125;0.25;371748197;DU
6;0;333.4466857910156;740.6703491210938;0.21153846383094788;371748213;DU
6;0;330.25653076171875;699.42578125;0.21153846383094788;371748230;DU
6;0;322.0860290527344;660.5799560546875;0.19230769574642181;371748247;DU
6;0;307.247802734375;622.4950561523438;0.13461539149284363;371748263;DU
6;0;287.79486083984375;580.8977661132813;0.17307692766189575;371748280;DU
6;0;268.3464660644531;544.5455932617188;0.17307692766189575;371748297;DU
6;0;249.4192352294922;511.40289306640625;0.13461539149284363;371748313;DU
6;0;233.6754608154297;486.58233642578125;0.09615384787321091;371748323;DU
7;0;497.3092956542969;778.3544311523438;0.13461539149284363;371748697;DU
7;0;497.3092956542969;778.3544311523438;0.17307692766189575;371748713;DU
7;0;491.5153503417969;753.715087890625;0.11538462340831757;371748730;DU
7;0;484.04449462890625;719.30517578125;0.1538461595773697;371748747;DU
7;0;482.4287414550781;669.6988525390625;0.17307692766189575;371748763;DU
7;0;490.2552795410156;615.3328247070313;0.13461539149284363;371748780;DU
7;0;507.2873229980469;565.1557006835938;0.13461539149284363;371748797;DU
7;0;531.588623046875;520.233642578125;0.13461539149284363;371748813;DU
7;0;557.458984375;481.5010986328125;0.09615384787321091;371748830;DU
8;0;338.5298156738281;802.335693359375;0.25;371749480;DU
8;0;342.3224182128906;780.3253173828125;0.23076924681663513;371749497;DU
8;0;342.4107360839844;756.665771484375;0.23076924681663513;371749513;DU
8;0;338.4267272949219;732.4718017578125;0.23076924681663513;371749530;DU
8;0;332.37841796875;701.614501953125;0.23076924681663513;371749547;DU
8;0;322.30987548828125;662.04248046875;0.25;371749563;DU
8;0;308.0721435546875;630.9696044921875;0.19230769574642181;371749580;DU
8;0;296.14117431640625;600.3745727539063;0.19230769574642181;371749597;DU
8;0;284.52099609375;571.6721801757813;0.17307692766189575;371749613;DU
8;0;268.8757629394531;541.3131103515625;0.1538461595773697;371749630;DU
8;0;256.6435546875;522.5542602539063;0.11538462340831757;371749638;DU
9;0;503.3009948730469;789.3458251953125;0.11538462340831757;371750047;DU
9;0;503.3009948730469;789.3458251953125;0.1538461595773697;371750063;DU
9;0;482.95599365234375;717.0159301757813;0.19230769574642181;371750080;DU
9;0;478.6927185058594;661.2454223632813;0.19230769574642181;371750097;DU
9;0;483.909912109375;607.0302124023438;0.19230769574642181;371750113;DU
9;0;500.0880432128906;554.1583251953125;0.13461539149284363;371750130;DU
9;0;502.3023681640625;548.533935546875;0.11538462340831757;371750132;DU
10;0;333.5367736816406;785.3489379882813;0.25;371750458;DU
10;0;333.5367736816406;785.3489379882813;0.23076924681663513;371750510;DU
10;0;333.5367736816406;756.2188110351563;0.21153846383094788;371750530;DU
10;0;327.6693420410156;727.8916015625;0.25;371750547;DU
10;0;313.1212463378906;681.0543212890625;0.23076924681663513;371750563;DU
10;0;293.9820861816406;633.8092041015625;0.19230769574642181;371750580;DU
10;0;267.3671875;584.1668701171875;0.1538461595773697;371750597;DU
10;0;249.65325927734375;556.5277099609375;0.17307692766189575;371750604;DU
11;0;493.3148498535156;754.3731689453125;0.13461539149284363;371750963;DU
11;0;493.3148498535156;754.3731689453125;0.13461539149284363;371750980;DU
11;0;485.69024658203125;688.2530517578125;0.1538461595773697;371750997;DU
11;0;489.0421142578125;638.3406982421875;0.17307692766189575;371751013;DU
11;0;496.6566162109375;579.146728515625;0.1538461595773697;371751030;DU
11;0;526.6561889648438;517.3204345703125;0.17307692766189575;371751047;DU
12;0;351.5118103027344;767.3629760742188;0.17307692766189575;371751530;DU
12;0;351.5118103027344;767.3629760742188;0.25;371751563;DU
12;0;351.5118103027344;767.3629760742188;0.26923078298568726;371751582;DU
12;0;351.5118103027344;767.3629760742188;0.25;371751634;DU
12;0;347.6136474609375;741.6195678710938;0.23076924681663513;371751663;DU
12;0;343.7887878417969;719.3648071289063;0.23076924681663513;371751680;DU
12;0;335.79266357421875;688.4607543945313;0.25;371751697;DU
12;0;324.1767272949219;653.5193481445313;0.23076924681663513;371751713;DU
12;0;308.2928466796875;622.1510620117188;0.17307692766189575;371751730;DU
12;0;291.5363464355469;587.118896484375;0.21153846383094788;371751747;DU
12;0;271.4232482910156;553.74560546875;0.1538461595773697;371751763;DU
12;0;255.6449432373047;529.5487670898438;0.09615384787321091;371751770;DU
13;0;490.3190002441406;797.339599609375;0.09615384787321091;371752280;DU
13;0;483.7685852050781;760.1978759765625;0.13461539149284363;371752297;DU
13;0;479.959716796875;725.224853515625;0.07692307978868484;371752313;DU
13;0;478.0606994628906;677.896728515625;0.09615384787321091;371752330;DU
13;0;481.9334411621094;634.0421752929688;0.1538461595773697;371752347;DU
13;0;488.210693359375;589.2807006835938;0.17307692766189575;371752363;DU
13;0;503.8263854980469;546.062744140625;0.09615384787321091;371752380;DU
14;0;348.5159606933594;747.3786010742188;0.26923078298568726;371752963;DU
14;0;348.5159606933594;747.3786010742188;0.2884615361690521;371752978;DU
14;0;348.5159606933594;747.3786010742188;0.26923078298568726;371752997;DU
14;0;348.5159606933594;747.3786010742188;0.23076924681663513;371753014;DU
14;0;344.7953186035156;721.3181762695313;0.21153846383094788;371753030;DU
14;0;338.3713684082031;694.3646240234375;0.25;371753047;DU
14;0;325.379150390625;656.2027587890625;0.19230769574642181;371753064;DU
14;0;306.9598388671875;621.2494506835938;0.13461539149284363;371753080;DU
14;0;285.23712158203125;581.7103271484375;0.13461539149284363;371753097;DU
14;0;266.62969970703125;554.529296875;0.19230769574642181;371753104;DU
15;0;488.32177734375;769.3614501953125;0.1538461595773697;371753530;DU
15;0;488.32177734375;769.3614501953125;0.13461539149284363;371753547;DU
15;0;476.27008056640625;709.8604736328125;0.11538462340831757;371753564;DU
15;0;474.0675048828125;666.7667846679688;0.1538461595773697;371753580;DU
15;0;481.686279296875;619.346923828125;0.13461539149284363;371753597;DU
15;0;488.2253112792969;577.1395263671875;0.1538461595773697;371753614;DU
15;0;497.6838073730469;549.408203125;0.1538461595773697;371753630;DU
15;0;509.8976745605469;523.9837646484375;0.13461539149284363;371753647;DU
15;0;525.8935546875;495.85205078125;0.1538461595773697;371753664;DU
15;0;533.2593994140625;483.584716796875;0.1538461595773697;371753671;DU
16;0;385.4646301269531;769.3614501953125;0.26923078298568726;371754430;DU
16;0;385.4646301269531;769.3614501953125;0.26923078298568726;371754447;DU
16;0;385.4646301269531;769.3614501953125;0.25;371754461;DU
16;0;385.4646301269531;769.3614501953125;0.23076924681663513;371754477;DU
16;0;363.4425964355469;694.2832641601563;0.23076924681663513;371754514;DU
16;0;347.234130859375;654.37060546875;0.19230769574642181;371754530;DU
16;0;328.5395202636719;622.3163452148438;0.21153846383094788;371754547;DU
16;0;309.2178649902344;592.1914672851563;0.17307692766189575;371754564;DU
16;0;279.567626953125;552.1094360351563;0.1538461595773697;371754580;DU
16;0;277.61444091796875;549.533203125;0.19230769574642181;371754581;DU
17;0;485.3259582519531;777.3551635742188;0.09615384787321091;371755114;DU
17;0;485.3259582519531;777.3551635742188;0.13461539149284363;371755130;DU
17;0;468.6966247558594;742.412353515625;0.13461539149284363;371755147;DU
17;0;458.2730407714844;699.963134765625;0.19230769574642181;371755164;DU
17;0;454.37017822265625;660.461669921875;0.19230769574642181;371755180;DU
17;0;456.78759765625;629.5715942382813;0.17307692766189575;371755197;DU
17;0;465.5123291015625;603.4007568359375;0.1538461595773697;371755214;DU
17;0;474.99090576171875;581.4320068359375;0.17307692766189575;371755230;DU
17;0;481.7962341308594;563.492431640625;0.1538461595773697;371755247;DU
17;0;492.96649169921875;547.0147705078125;0.13461539149284363;371755264;DU
17;0;493.3148498535156;546.5355224609375;0.19230769574642181;371755274;DU
18;0;483.3287353515625;727.3942260742188;0.11538462340831757;371757844;DU
18;0;483.3287353515625;727.3942260742188;0.1538461595773697;371757864;DU
18;0;483.3287353515625;727.3942260742188;0.09615384787321091;371757881;DU
18;0;486.3725280761719;658.9431762695313;0.1538461595773697;371757897;DU
18;0;492.3750915527344;615.5162353515625;0.1538461595773697;371757914;DU
18;0;505.1734313964844;567.2692260742188;0.09615384787321091;371757931;DU
18;0;531.673828125;513.7366333007813;0.1538461595773697;371757947;DU
18;0;535.256591796875;506.5667724609375;0.1538461595773697;371757949;DU
19;0;496.3106994628906;743.3817138671875;0.09615384787321091;371758795;DU
19;0;496.3106994628906;743.3817138671875;0.11538462340831757;371758813;DU
19;0;494.9395446777344;699.4788208007813;0.13461539149284363;371758830;DU
19;0;495.2695617675781;674.2444458007813;0.11538462340831757;371758847;DU
19;0;499.5338439941406;642.3224487304688;0.21153846383094788;371758863;DU
19;0;510.46893310546875;607.1017456054688;0.13461539149284363;371758880;DU
19;0;525.6670532226563;568.2448120117188;0.11538462340831757;371758897;DU
19;0;545.41064453125;528.2135620117188;0.11538462340831757;371758913;DU
20;0;284.604736328125;852.296630859375;0.25;371759793;DU
20;0;284.604736328125;852.296630859375;0.26923078298568726;371759814;DU
20;0;284.604736328125;852.296630859375;0.25;371759863;DU
20;0;284.604736328125;852.296630859375;0.21153846383094788;371759880;DU
20;0;295.5894775390625;798.8233032226563;0.23076924681663513;371759896;DU
20;0;290.3918762207031;764.5299682617188;0.21153846383094788;371759913;DU
20;0;280.71197509765625;713.8886108398438;0.1538461595773697;371759930;DU
20;0;253.225341796875;638.9059448242188;0.21153846383094788;371759947;DU
20;0;212.88885498046875;563.3453369140625;0.17307692766189575;371759963;DU
21;0;490.3190002441406;736.38720703125;0.13461539149284363;371760313;DU
21;0;483.84844970703125;682.43310546875;0.11538462340831757;371760330;DU
21;0;488.00640869140625;640.0023193359375;0.17307692766189575;371760347;DU
21;0;496.8601989746094;586.4609985351563;0.17307692766189575;371760363;DU
21;0;530.9688720703125;517.5945434570313;0.17307692766189575;371760380;DU
21;0;568.8447265625;448.55792236328125;0.21153846383094788;371760397;DU
22;0;189.73648071289063;840.3060302734375;0.09615384787321091;371760644;DU
