Номер действия;Номер касания;Координата X;Координата Y;Размер касания;Метка времени;Тип
0;0;514.2857055664063;678.4324951171875;0.11538462340831757;375869649;DU
0;0;525.9076538085938;615.3035278320313;0.07692307978868484;375869666;DU
0;0;536.9993896484375;557.5513916015625;0.1538461595773697;375869683;DU
0;0;544.493408203125;513.46337890625;0.13461539149284363;375869699;DU
0;0;549.49560546875;479.77655029296875;0.1538461595773697;375869716;DU
0;0;558.4041748046875;442.9273376464844;0.1538461595773697;375869733;DU
0;0;568.2108154296875;417.63623046875;0.11538462340831757;375869743;DU
1;0;370.4854431152344;877.277099609375;0.07692307978868484;375871916;DU
1;0;378.9109802246094;826.6466674804688;0.09615384787321091;375871933;DU
1;0;392.4904479980469;760.005126953125;0.07692307978868484;375871949;DU
1;0;419.67095947265625;674.92236328125;0.11538462340831757;375871966;DU
1;0;451.5906677246094;581.7493286132813;0.05769231170415878;375871983;DU
1;0;490.59625244140625;489.265869140625;0.09615384787321091;375871999;DU
1;0;536.0508422851563;389.810791015625;0.09615384787321091;375872016;DU
1;0;591.12060546875;283.6606140136719;0.11538462340831757;375872033;DU
1;0;639.1123657226563;211.79702758789063;0.05769231170415878;375872041;DU
2;0;443.3841857910156;755.3723754882813;0.13461539149284363;375872462;DU
2;0;443.3841857910156;755.3723754882813;0.11538462340831757;375872483;DU
2;0;443.3841857910156;755.3723754882813;0.09615384787321091;375872514;DU
2;0;443.3841857910156;755.3723754882813;0.07692307978868484;375872533;DU
2;0;443.3841857910156;755.3723754882813;0.13461539149284363;375872549;DU
2;0;414.8375549316406;695.1570434570313;0.11538462340831757;375872566;DU
2;0;410.8948669433594;656.0198974609375;0.11538462340831757;375872583;DU
2;0;410.4299621582031;612.1842041015625;0.09615384787321091;375872599;DU
2;0;418.74407958984375;558.5722045898438;0.07692307978868484;375872616;DU
2;0;430.7213439941406;496.9764404296875;0.17307692766189575;375872633;DU
2;0;438.7636413574219;434.2210998535156;0.11538462340831757;375872649;DU
2;0;446.87933349609375;369.6737060546875;0.11538462340831757;375872666;DU
2;0;481.2986145019531;269.3872985839844;0.09615384787321091;375872683;DU
3;0;350.51318359375;909.2521362304688;0.07692307978868484;375873165;DU
3;0;350.51318359375;909.2521362304688;0.07692307978868484;375873196;DU
3;0;350.51318359375;909.2521362304688;0.05769231170415878;375873228;DU
3;0;350.51318359375;909.2521362304688;0.09615384787321091;375873244;DU
3;0;351.9909973144531;846.0634155273438;0.01923076994717121;375873283;DU
3;0;351.5118103027344;789.3283081054688;0.11538462340831757;375873299;DU
3;0;347.2702941894531;703.1282958984375;0.13461539149284363;375873316;DU
3;0;337.47308349609375;593.788330078125;0.09615384787321091;375873333;DU
3;0;331.71246337890625;491.91278076171875;0.11538462340831757;375873349;DU
3;0;329.3511657714844;402.5480041503906;0.13461539149284363;375873366;DU
3;0;331.1285400390625;307.89202880859375;0.1538461595773697;375873383;DU
3;0;345.2329406738281;202.95425415039063;0.09615384787321091;375873399;DU
3;0;354.50762939453125;165.83294677734375;0.07692307978868484;375873406;DU
4;0;148.79335021972656;791.34423828125;0.07692307978868484;375873868;DU
4;0;148.79335021972656;791.34423828125;0.13461539149284363;375873899;DU
4;0;148.79335021972656;791.34423828125;0.1538461595773697;375873916;DU
4;0;159.31919860839844;742.19384765625;0.11538462340831757;375873933;DU
4;0;160.56410217285156;707.5192260742188;0.13461539149284363;375873949;DU
4;0;160.77670288085938;665.1641235351563;0.1538461595773697;375873966;DU
4;0;159.77809143066406;615.3223266601563;0.11538462340831757;375873983;DU
4;0;161.8461151123047;564.7097778320313;0.09615384787321091;375873999;DU
4;0;167.39828491210938;503.57672119140625;0.11538462340831757;375874016;DU
4;0;184.2037353515625;436.5108642578125;0.05769231170415878;375874033;DU
