Номер действия;Номер касания;Координата X;Координата Y;Размер касания;Метка времени;Тип
0;0;675.0624389648438;702.4137573242188;0.13461539149284363;376412682;DU
0;0;646.2249755859375;647.7015380859375;0.13461539149284363;376412699;DU
0;0;624.9114379882813;610.5358276367188;0.11538462340831757;376412716;DU
0;0;599.9667358398438;566.1602783203125;0.11538462340831757;376412732;DU
0;0;573.5509643554688;508.07708740234375;0.09615384787321091;376412749;DU
0;0;546.8505859375;450.4090576171875;0.13461539149284363;376412766;DU
0;0;529.5507202148438;396.5112609863281;0.09615384787321091;376412782;DU
0;0;517.896484375;348.1317138671875;0.13461539149284363;376412799;DU
0;0;508.6351623535156;289.7857666015625;0.1538461595773697;376412816;DU
0;0;504.2995910644531;256.76190185546875;0.11538462340831757;376412826;DU
1;0;105.49974060058594;634.5343627929688;0.13461539149284363;376412966;DU
1;0;131.4815673828125;568.7955932617188;0.13461539149284363;376412982;DU
1;0;156.0568389892578;484.0360107421875;0.13461539149284363;376412999;DU
1;0;181.74246215820313;401.539794921875;0.13461539149284363;376413016;DU
1;0;199.35838317871094;323.90692138671875;0.17307692766189575;376413032;DU
1;0;209.9721221923828;258.335693359375;0.09615384787321091;376413049;DU
1;0;213.53338623046875;206.2429962158203;0.19230769574642181;376413066;DU
1;0;213.28875732421875;168.53054809570313;0.13461539149284363;376413082;DU
1;0;210.6767120361328;140.6072540283203;0.07692307978868484;376413099;DU
1;0;206.52322387695313;117.73088073730469;0.07692307978868484;376413116;DU
1;0;202.16268920898438;99.65852355957031;0.13461539149284363;376413132;DU
1;0;196.65843200683594;82.2271728515625;0.11538462340831757;376413149;DU
1;0;191.98294067382813;69.28193664550781;0.09615384787321091;376413166;DU
1;0;187.7392578125;58.916473388671875;0.13461539149284363;376413183;DU
2;0;528.2528076171875;720.1768188476563;0.13461539149284363;376413249;DU
2;0;507.79290771484375;678.4287719726563;0.1538461595773697;376413266;DU
2;0;482.330078125;625.9734497070313;0.13461539149284363;376413282;DU
2;0;463.5230407714844;575.39794921875;0.11538462340831757;376413299;DU
2;0;445.487060546875;519.1165771484375;0.11538462340831757;376413316;DU
2;0;432.25244140625;468.00811767578125;0.05769231170415878;376413332;DU
2;0;424.9209289550781;411.72955322265625;0.11538462340831757;376413349;DU
2;0;421.4578857421875;363.32720947265625;0.09615384787321091;376413366;DU
2;0;420.39410400390625;311.9698181152344;0.07692307978868484;376413382;DU
2;0;420.4161071777344;282.7416076660156;0.11538462340831757;376413392;DU
3;0;163.0941619873047;644.7156372070313;0.1538461595773697;376413566;DU
3;0;184.741943359375;583.8182983398438;0.11538462340831757;376413582;DU
3;0;201.31455993652344;510.63043212890625;0.13461539149284363;376413599;DU
3;0;214.14434814453125;427.8410949707031;0.13461539149284363;376413616;DU
3;0;226.00865173339844;351.0070495605469;0.13461539149284363;376413632;DU
3;0;235.67269897460938;283.7408142089844;0.09615384787321091;376413649;DU
3;0;238.91526794433594;240.562255859375;0.07692307978868484;376413666;DU
3;0;238.97206115722656;206.18460083007813;0.1538461595773697;376413682;DU
3;0;238.66851806640625;179.02822875976563;0.07692307978868484;376413699;DU
3;0;235.94021606445313;162.17535400390625;0.09615384787321091;376413716;DU
3;0;234.17477416992188;147.34738159179688;0.1538461595773697;376413732;DU
3;0;232.63609313964844;138.60934448242188;0.1538461595773697;376413749;DU
3;0;232.02467346191406;133.55201721191406;0.1538461595773697;376413766;DU
3;0;232.88986206054688;130.43399047851563;0.13461539149284363;376413782;DU
4;0;486.3245544433594;599.494140625;0.07692307978868484;376413864;DU
4;0;476.2560119628906;552.1184692382813;0.09615384787321091;376413882;DU
4;0;468.37908935546875;509.9239501953125;0.09615384787321091;376413899;DU
4;0;457.40716552734375;456.84613037109375;0.13461539149284363;376413916;DU
4;0;445.4068298339844;396.21234130859375;0.07692307978868484;376413932;DU
4;0;431.9783935546875;330.9115905761719;0.11538462340831757;376413949;DU
4;0;428.4049987792969;298.7291259765625;0.09615384787321091;376413958;DU
5;0;158.77947998046875;685.427001953125;0.1538461595773697;376414094;DU
5;0;164.29833984375;645.6670532226563;0.17307692766189575;376414116;DU
5;0;176.63348388671875;587.6124267578125;0.1538461595773697;376414132;DU
5;0;195.32374572753906;510.88372802734375;0.11538462340831757;376414149;DU
5;0;209.39122009277344;430.6802062988281;0.09615384787321091;376414166;DU
5;0;222.02395629882813;356.1069030761719;0.11538462340831757;376414182;DU
5;0;232.05419921875;291.0244140625;0.11538462340831757;376414199;DU
5;0;236.9135284423828;246.85879516601563;0.07692307978868484;376414216;DU
5;0;238.9047088623047;205.65225219726563;0.11538462340831757;376414232;DU
5;0;238.66851806640625;178.48570251464844;0.07692307978868484;376414249;DU
5;0;237.27593994140625;159.10398864746094;0.13461539149284363;376414266;DU
6;0;166.7008056640625;633.5177001953125;0.17307692766189575;376414616;DU
6;0;184.8500518798828;566.2208251953125;0.11538462340831757;376414632;DU
6;0;203.70758056640625;484.63134765625;0.11538462340831757;376414649;DU
6;0;219.66139221191406;397.41632080078125;0.09615384787321091;376414666;DU
6;0;236.58822631835938;319.00048828125;0.09615384787321091;376414682;DU
6;0;244.81671142578125;264.50201416015625;0.1538461595773697;376414699;DU
6;0;248.29864501953125;222.10165405273438;0.1538461595773697;376414716;DU
6;0;247.65603637695313;188.30845642089844;0.09615384787321091;376414732;DU
6;0;246.10446166992188;163.63607788085938;0.11538462340831757;376414749;DU
6;0;244.4967041015625;143.8854522705078;0.11538462340831757;376414766;DU
6;0;244.40953063964844;130.86842346191406;0.09615384787321091;376414782;DU
6;0;244.6602020263672;128.86183166503906;0.03846153989434242;376414785;DU
7;0;495.931396484375;627.4649658203125;0.13461539149284363;376414866;DU
7;0;491.5084533691406;589.3005981445313;0.11538462340831757;376414882;DU
7;0;477.546630859375;528.6309814453125;0.09615384787321091;376414899;DU
7;0;463.5126647949219;457.1026306152344;0.09615384787321091;376414916;DU
7;0;452.8900146484375;385.2946472167969;0.1538461595773697;376414932;DU
7;0;448.37725830078125;344.6932067871094;0.19230769574642181;376414942;DU
8;0;166.7947998046875;657.4204711914063;0.17307692766189575;376415116;DU
8;0;189.63922119140625;581.2570190429688;0.11538462340831757;376415132;DU
8;0;207.1444549560547;497.4130859375;0.11538462340831757;376415149;DU
8;0;222.9659423828125;406.3189697265625;0.07692307978868484;376415166;DU
8;0;239.00823974609375;328.9385681152344;0.07692307978868484;376415182;DU
8;0;250.15257263183594;270.25140380859375;0.1538461595773697;376415199;DU
8;0;252.81829833984375;234.8306884765625;0.13461539149284363;376415216;DU
8;0;253.64772033691406;198.58729553222656;0.13461539149284363;376415232;DU
8;0;251.14453125;174.0265350341797;0.09615384787321091;376415249;DU
8;0;250.77239990234375;154.29026794433594;0.11538462340831757;376415266;DU
8;0;248.17733764648438;140.50689697265625;0.11538462340831757;376415282;DU
8;0;247.65603637695313;136.85557556152344;0.09615384787321091;376415288;DU
9;0;519.9055786132813;638.3497924804688;0.17307692766189575;376415399;DU
9;0;505.566162109375;584.0989379882813;0.07692307978868484;376415416;DU
9;0;485.5182189941406;516.130126953125;0.11538462340831757;376415432;DU
9;0;470.907958984375;446.80535888671875;0.11538462340831757;376415449;DU
9;0;461.4940490722656;381.6904602050781;0.09615384787321091;376415466;DU
9;0;457.3647766113281;345.6924133300781;0.19230769574642181;376415476;DU
10;0;180.11119079589844;564.0338134765625;0.09615384787321091;376415649;DU
10;0;200.02366638183594;484.16143798828125;0.09615384787321091;376415666;DU
10;0;214.1444091796875;400.6787414550781;0.09615384787321091;376415682;DU
10;0;229.1205291748047;326.0018310546875;0.13461539149284363;376415699;DU
10;0;238.7536163330078;274.6268310546875;0.11538462340831757;376415716;DU
10;0;245.4784698486328;233.40890502929688;0.09615384787321091;376415732;DU
10;0;246.71444702148438;196.49571228027344;0.07692307978868484;376415749;DU
10;0;246.6574249267578;172.66900634765625;0.07692307978868484;376415766;DU
10;0;246.6574249267578;153.61083984375;0.13461539149284363;376415782;DU
11;0;509.5707092285156;622.0794677734375;0.1538461595773697;376415849;DU
11;0;504.8077697753906;568.7704467773438;0.13461539149284363;376415866;DU
11;0;497.2921447753906;508.14801025390625;0.11538462340831757;376415882;DU
11;0;486.80328369140625;442.8528137207031;0.11538462340831757;376415899;DU
11;0;476.68585205078125;372.0490417480469;0.07692307978868484;376415916;DU
11;0;471.2727355957031;308.94879150390625;0.09615384787321091;376415932;DU
11;0;470.34674072265625;292.7337951660156;0.11538462340831757;376415937;DU
12;0;170.76283264160156;668.4403076171875;0.1538461595773697;376416094;DU
12;0;191.2486114501953;587.5037231445313;0.11538462340831757;376416116;DU
12;0;204.8915557861328;523.085205078125;0.1538461595773697;376416132;DU
12;0;216.01602172851563;452.9603576660156;0.1538461595773697;376416149;DU
12;0;230.8782501220703;367.221435546875;0.11538462340831757;376416166;DU
12;0;246.62661743164063;289.2876892089844;0.13461539149284363;376416182;DU
12;0;254.7673797607422;227.6634521484375;0.1538461595773697;376416199;DU
12;0;255.6449432373047;186.89048767089844;0.09615384787321091;376416216;DU
12;0;253.3174285888672;160.1913299560547;0.13461539149284363;376416232;DU
12;0;250.09226989746094;143.04884338378906;0.11538462340831757;376416249;DU
12;0;248.30833435058594;127.39501953125;0.03846153989434242;376416266;DU
13;0;515.3079833984375;634.1287841796875;0.13461539149284363;376416382;DU
13;0;506.7868347167969;580.453125;0.11538462340831757;376416399;DU
13;0;494.74688720703125;519.7266845703125;0.11538462340831757;376416416;DU
13;0;483.40008544921875;457.8600769042969;0.07692307978868484;376416432;DU
13;0;476.898681640625;399.1388244628906;0.05769231170415878;376416449;DU
13;0;473.4369201660156;346.7498474121094;0.07692307978868484;376416466;DU
13;0;473.2779235839844;293.7900085449219;0.09615384787321091;376416482;DU
14;0;160.8778076171875;610.5523071289063;0.13461539149284363;376416599;DU
14;0;179.7438507080078;535.9255981445313;0.11538462340831757;376416616;DU
14;0;199.70452880859375;460.9203796386719;0.09615384787321091;376416632;DU
14;0;212.48377990722656;385.82183837890625;0.09615384787321091;376416649;DU
14;0;225.19613647460938;317.4244384765625;0.13461539149284363;376416666;DU
14;0;234.57472229003906;265.17218017578125;0.07692307978868484;376416682;DU
14;0;238.4296112060547;230.80612182617188;0.07692307978868484;376416699;DU
14;0;238.66851806640625;199.2110137939453;0.13461539149284363;376416716;DU
14;0;237.66990661621094;177.5029754638672;0.09615384787321091;376416732;DU
14;0;235.6726837158203;166.83216857910156;0.13461539149284363;376416743;DU
15;0;513.6800537109375;611.712646484375;0.13461539149284363;376416882;DU
15;0;501.6834716796875;564.5823364257813;0.11538462340831757;376416899;DU
15;0;487.4086608886719;503.606689453125;0.07692307978868484;376416916;DU
15;0;477.1710205078125;441.4539489746094;0.11538462340831757;376416932;DU
15;0;468.8182373046875;385.1512145996094;0.07692307978868484;376416949;DU
15;0;467.3509216308594;372.6713562011719;0.11538462340831757;376416953;DU
16;0;152.26730346679688;578.9425659179688;0.1538461595773697;376417099;DU
16;0;169.26490783691406;492.57763671875;0.11538462340831757;376417115;DU
16;0;193.21217346191406;410.9308776855469;0.09615384787321091;376417132;DU
16;0;206.36473083496094;332.7944641113281;0.11538462340831757;376417149;DU
16;0;215.22068786621094;269.20330810546875;0.1538461595773697;376417166;DU
16;0;220.46421813964844;230.53732299804688;0.11538462340831757;376417182;DU
16;0;220.6934814453125;194.915771484375;0.1538461595773697;376417199;DU
16;0;220.6934814453125;189.814208984375;0.13461539149284363;376417205;DU
17;0;134.93319702148438;615.9273681640625;0.1538461595773697;376417582;DU
