Номер действия;Номер касания;Координата X;Координата Y;Размер касания;Метка времени;Тип
0;0;180.74896240234375;789.3458251953125;0.21153846383094788;375796811;DU
0;0;191.50389099121094;748.75830078125;0.21153846383094788;375796831;DU
0;0;193.2189178466797;719.1423950195313;0.21153846383094788;375796848;DU
0;0;185.62567138671875;668.7603149414063;0.21153846383094788;375796864;DU
0;0;175.2515869140625;606.0332641601563;0.21153846383094788;375796881;DU
0;0;163.0661163330078;550.0628662109375;0.19230769574642181;375796898;DU
0;0;144.70013427734375;495.486572265625;0.17307692766189575;375796914;DU
0;0;126.7904052734375;442.5162658691406;0.17307692766189575;375796931;DU
0;0;109.67084503173828;393.18377685546875;0.19230769574642181;375796948;DU
0;0;84.81371307373047;330.10369873046875;0.19230769574642181;375796964;DU
0;0;62.721885681152344;263.0274963378906;0.19230769574642181;375796981;DU
0;0;42.51910400390625;196.188232421875;0.23076924681663513;375796998;DU
0;0;26.68562126159668;153.32168579101563;0.21153846383094788;375797014;DU
1;0;481.33148193359375;762.3668823242188;0.13461539149284363;375797326;DU
1;0;485.49725341796875;670.2941284179688;0.1538461595773697;375797348;DU
1;0;493.2995300292969;571.3335571289063;0.13461539149284363;375797364;DU
1;0;507.7083435058594;482.07037353515625;0.09615384787321091;375797381;DU
1;0;530.0782470703125;388.4010314941406;0.11538462340831757;375797398;DU
1;0;551.4358520507813;295.5394592285156;0.13461539149284363;375797414;DU
1;0;562.2191772460938;274.74786376953125;0.09615384787321091;375797420;DU
2;0;218.69625854492188;843.3036499023438;0.23076924681663513;375797577;DU
2;0;220.59144592285156;794.5896606445313;0.26923078298568726;375797598;DU
2;0;220.6934814453125;758.0769653320313;0.25;375797614;DU
2;0;218.59805297851563;709.8344116210938;0.3076923191547394;375797631;DU
2;0;214.9606170654297;654.4689331054688;0.2884615361690521;375797648;DU
2;0;208.801025390625;598.0872802734375;0.32692310214042664;375797664;DU
2;0;199.52310180664063;538.4763793945313;0.2884615361690521;375797681;DU
2;0;181.34271240234375;468.3262939453125;0.3461538553237915;375797698;DU
2;0;145.5526123046875;374.52972412109375;0.2884615361690521;375797714;DU
2;0;96.06305694580078;300.8968505859375;0.2884615361690521;375797731;DU
2;0;84.88211059570313;285.7392578125;0.26923078298568726;375797735;DU
3;0;516.9971923828125;674.493408203125;0.1538461595773697;375798081;DU
3;0;531.2197265625;578.639404296875;0.11538462340831757;375798098;DU
3;0;547.4293212890625;488.79962158203125;0.11538462340831757;375798114;DU
3;0;567.4839477539063;401.69989013671875;0.11538462340831757;375798131;DU
3;0;589.7760009765625;320.2333068847656;0.1538461595773697;375798148;DU
3;0;600.1664428710938;289.73614501953125;0.13461539149284363;375798155;DU
4;0;212.70457458496094;764.3653564453125;0.21153846383094788;375798427;DU
4;0;216.6092987060547;696.9342651367188;0.21153846383094788;375798448;DU
4;0;217.69764709472656;646.3098754882813;0.21153846383094788;375798464;DU
4;0;216.57289123535156;588.9548950195313;0.21153846383094788;375798481;DU
4;0;214.2857666015625;529.5078735351563;0.21153846383094788;375798498;DU
4;0;207.19776916503906;469.38885498046875;0.19230769574642181;375798514;DU
4;0;187.1791229248047;399.1734924316406;0.19230769574642181;375798531;DU
4;0;170.76283264160156;346.691650390625;0.19230769574642181;375798542;DU
5;0;497.2649230957031;693.8649291992188;0.13461539149284363;375798898;DU
5;0;511.499755859375;612.1493530273438;0.1538461595773697;375798914;DU
5;0;531.9163818359375;535.9230346679688;0.09615384787321091;375798931;DU
5;0;550.4590454101563;456.0976867675781;0.09615384787321091;375798948;DU
