Номер действия;Номер касания;Координата X;Координата Y;Размер касания;Метка времени;Тип
0;0;315.80322265625;629.9214477539063;0.32692310214042664;373739465;DU
0;0;333.9344787597656;534.5764770507813;0.36538463830947876;373739482;DU
0;0;361.59918212890625;403.051025390625;0.3076923191547394;373739499;DU
0;0;394.12884521484375;294.5762634277344;0.3461538553237915;373739515;DU
0;0;418.2709655761719;246.0977783203125;0.36538463830947876;373739532;DU
0;0;432.1233215332031;227.38052368164063;0.3076923191547394;373739549;DU
0;0;429.40362548828125;230.78219604492188;0.21153846383094788;373739555;DU
1;0;399.1150207519531;779.7237548828125;0.5;373739699;DU
1;0;397.2082824707031;723.27587890625;0.5192307829856873;373739715;DU
1;0;397.2522888183594;644.82568359375;0.42307692766189575;373739732;DU
1;0;409.6880798339844;553.3114624023438;0.36538463830947876;373739749;DU
1;0;431.2915954589844;460.8492736816406;0.3461538553237915;373739765;DU
1;0;447.7732849121094;398.8490905761719;0.4038461744785309;373739782;DU
1;0;459.4061279296875;360.026611328125;0.32692310214042664;373739799;DU
1;0;460.3606262207031;353.6861877441406;0.23076924681663513;373739807;DU
2;0;433.3980712890625;832.312255859375;0.48076924681663513;373739943;DU
2;0;436.7488098144531;723.7110595703125;0.5192307829856873;373739965;DU
2;0;450.9452209472656;628.1854248046875;0.42307692766189575;373739982;DU
2;0;478.3515930175781;519.829345703125;0.42307692766189575;373739999;DU
2;0;521.1572875976563;383.5252380371094;0.36538463830947876;373740015;DU
2;0;551.2344360351563;316.7150573730469;0.25;373740026;DU
3;0;216.69903564453125;724.3965454101563;0.21153846383094788;373741062;DU
3;0;242.94967651367188;577.716796875;0.21153846383094788;373741082;DU
3;0;274.0137023925781;446.5643005371094;0.1538461595773697;373741099;DU
3;0;314.8927917480469;339.5801696777344;0.19230769574642181;373741115;DU
3;0;348.0583801269531;269.6916809082031;0.19230769574642181;373741132;DU
3;0;367.2738037109375;226.45858764648438;0.19230769574642181;373741149;DU
4;0;384.4660339355469;604.0484619140625;0.19230769574642181;373741565;DU
4;0;396.48828125;513.1775512695313;0.21153846383094788;373741582;DU
4;0;424.11962890625;415.94195556640625;0.23076924681663513;373741599;DU
4;0;452.4930725097656;347.4480285644531;0.21153846383094788;373741615;DU
4;0;479.85302734375;284.40032958984375;0.19230769574642181;373741632;DU
4;0;494.0210266113281;261.2342834472656;0.1538461595773697;373741648;DU
4;0;494.3134765625;260.7587890625;0.11538462340831757;373741649;DU
5;0;289.3074645996094;587.5774536132813;0.23076924681663513;373741815;DU
