MotionNumber;TouchNumber;XCoordinate;YCoordinate;Size;Time;Type
0;0;218.27069091796875;808.9324951171875;0.19230769574642181;375945468;DU
0;0;215.53070068359375;770.55419921875;0.21153846383094788;375945484;DU
0;0;209.48623657226563;722.9209594726563;0.17307692766189575;375945501;DU
0;0;197.511962890625;667.8806762695313;0.19230769574642181;375945518;DU
0;0;183.7461395263672;608.9925537109375;0.21153846383094788;375945534;DU
0;0;173.2473602294922;556.7968139648438;0.19230769574642181;375945551;DU
0;0;163.69869995117188;510.5518798828125;0.21153846383094788;375945568;DU
0;0;152.93763732910156;467.46185302734375;0.19230769574642181;375945584;DU
0;0;139.10008239746094;424.3670654296875;0.19230769574642181;375945601;DU
0;0;127.53376007080078;386.8531799316406;0.19230769574642181;375945618;DU
0;0;125.82524871826172;377.6674499511719;0.17307692766189575;375945623;DU
1;0;494.3134765625;927.2380981445313;0.11538462340831757;375945970;DU
1;0;495.2550964355469;847.3550415039063;0.17307692766189575;375946001;DU
1;0;497.4001159667969;764.4559936523438;0.1538461595773697;375946018;DU
1;0;502.8109130859375;673.9243774414063;0.17307692766189575;375946034;DU
1;0;513.964599609375;598.1346435546875;0.1538461595773697;375946051;DU
1;0;530.7069702148438;525.4627075195313;0.11538462340831757;375946068;DU
1;0;545.3384399414063;463.61859130859375;0.13461539149284363;375946084;DU
1;0;561.1243896484375;403.01361083984375;0.11538462340831757;375946101;DU
1;0;569.20947265625;386.6604309082031;0.1538461595773697;375946107;DU
2;0;158.77947998046875;853.2958374023438;0.19230769574642181;375946400;DU
2;0;160.51719665527344;811.2660522460938;0.19230769574642181;375946418;DU
2;0;160.77670288085938;770.4659423828125;0.19230769574642181;375946434;DU
2;0;160.77670288085938;719.0695190429688;0.19230769574642181;375946451;DU
2;0;159.27877807617188;660.9461669921875;0.19230769574642181;375946467;DU
2;0;156.55645751953125;607.6438598632813;0.19230769574642181;375946484;DU
2;0;153.4022674560547;561.138671875;0.19230769574642181;375946501;DU
2;0;150.21688842773438;512.6575317382813;0.17307692766189575;375946518;DU
2;0;146.142822265625;467.93975830078125;0.19230769574642181;375946534;DU
2;0;139.87225341796875;421.6153564453125;0.19230769574642181;375946551;DU
2;0;131.50828552246094;379.0591735839844;0.19230769574642181;375946568;DU
2;0;123.5523452758789;336.97412109375;0.19230769574642181;375946584;DU
2;0;116.89323425292969;300.2975158691406;0.19230769574642181;375946601;DU
2;0;111.53428649902344;270.852294921875;0.19230769574642181;375946618;DU
2;0;106.5580825805664;246.3004150390625;0.17307692766189575;375946634;DU
2;0;107.85021209716797;252.7650146484375;0.19230769574642181;375946640;DU
3;0;420.4161071777344;866.2857055664063;0.05769231170415878;375946912;DU
3;0;410.0482177734375;801.3739013671875;0.09615384787321091;375946934;DU
3;0;410.4712829589844;733.4494018554688;0.09615384787321091;375946951;DU
3;0;419.00579833984375;667.5914306640625;0.1538461595773697;375946968;DU
3;0;428.7124938964844;614.9114379882813;0.11538462340831757;375946984;DU
3;0;436.6629943847656;569.8081665039063;0.13461539149284363;375947001;DU
3;0;448.7528381347656;531.3720703125;0.11538462340831757;375947018;DU
3;0;465.77606201171875;489.23828125;0.1538461595773697;375947034;DU
3;0;482.7583312988281;442.9923400878906;0.17307692766189575;375947051;DU
3;0;504.5641784667969;390.4921875;0.09615384787321091;375947068;DU
3;0;524.10009765625;352.4335632324219;0.13461539149284363;375947084;DU
3;0;527.2677001953125;343.6940002441406;0.19230769574642181;375947091;DU
4;0;226.68516540527344;824.3184814453125;0.17307692766189575;375947300;DU
4;0;226.68516540527344;797.21728515625;0.19230769574642181;375947318;DU
4;0;226.68516540527344;761.552490234375;0.19230769574642181;375947334;DU
4;0;224.79627990722656;722.1105346679688;0.21153846383094788;375947351;DU
4;0;223.19003295898438;680.430908203125;0.21153846383094788;375947368;DU
4;0;219.5197296142578;638.1838989257813;0.21153846383094788;375947384;DU
4;0;215.66650390625;598.9008178710938;0.21153846383094788;375947401;DU
4;0;210.97396850585938;561.65966796875;0.19230769574642181;375947418;DU
4;0;203.5040283203125;527.3265380859375;0.19230769574642181;375947434;DU
4;0;194.20245361328125;489.46875;0.19230769574642181;375947451;DU
4;0;181.58555603027344;444.9890441894531;0.21153846383094788;375947468;DU
4;0;171.0677947998047;401.6387023925781;0.21153846383094788;375947484;DU
4;0;159.15728759765625;364.0158386230469;0.23076924681663513;375947501;DU
4;0;144.69654846191406;329.71075439453125;0.21153846383094788;375947518;DU
4;0;130.38052368164063;302.23162841796875;0.21153846383094788;375947534;DU
4;0;117.09239959716797;281.1112365722656;0.19230769574642181;375947551;DU
4;0;116.83773040771484;280.7431640625;0.23076924681663513;375947551;DU
5;0;465.35369873046875;927.2380981445313;0.09615384787321091;375947884;DU
5;0;465.35369873046875;888.395263671875;0.07692307978868484;375947901;DU
5;0;468.0998840332031;847.9246215820313;0.13461539149284363;375947918;DU
5;0;469.8211364746094;789.873046875;0.07692307978868484;375947934;DU
5;0;474.5531921386719;730.4282836914063;0.1538461595773697;375947951;DU
5;0;481.96826171875;668.7012329101563;0.11538462340831757;375947968;DU
5;0;488.2861328125;620.4866333007813;0.11538462340831757;375947984;DU
5;0;494.6528625488281;572.6310424804688;0.13461539149284363;375948001;DU
5;0;509.5565490722656;513.3572387695313;0.11538462340831757;375948018;DU
5;0;537.4390258789063;432.02227783203125;0.11538462340831757;375948034;DU
5;0;556.2274780273438;391.6565246582031;0.11538462340831757;375948045;DU
6;0;217.69764709472656;882.273193359375;0.17307692766189575;375948465;DU
6;0;217.69764709472656;882.273193359375;0.17307692766189575;375948501;DU
6;0;213.18536376953125;828.6852416992188;0.1538461595773697;375948551;DU
6;0;208.37557983398438;804.9935302734375;0.1538461595773697;375948568;DU
6;0;201.91664123535156;774.7932739257813;0.1538461595773697;375948584;DU
6;0;193.6317901611328;742.9849243164063;0.1538461595773697;375948601;DU
6;0;183.0115966796875;704.8525390625;0.19230769574642181;375948618;DU
6;0;174.76025390625;663.0604858398438;0.19230769574642181;375948634;DU
6;0;167.8413543701172;624.2769165039063;0.19230769574642181;375948651;DU
6;0;159.88671875;585.4273071289063;0.1538461595773697;375948668;DU
6;0;147.06126403808594;544.333740234375;0.1538461595773697;375948684;DU
6;0;134.25067138671875;500.741943359375;0.17307692766189575;375948701;DU
6;0;122.78804779052734;459.7352294921875;0.17307692766189575;375948718;DU
6;0;112.58245086669922;420.5955505371094;0.19230769574642181;375948734;DU
6;0;102.85823059082031;387.996337890625;0.13461539149284363;375948751;DU
6;0;99.8613052368164;377.6674499511719;0.13461539149284363;375948758;DU
7;0;453.3703308105469;938.2294921875;0.19230769574642181;375949151;DU
7;0;449.32745361328125;886.6515502929688;0.17307692766189575;375949168;DU
7;0;446.1640930175781;809.450927734375;0.13461539149284363;375949184;DU
7;0;447.76116943359375;713.7219848632813;0.1538461595773697;375949201;DU
7;0;462.18963623046875;625.9661865234375;0.1538461595773697;375949218;DU
7;0;478.074951171875;556.8240356445313;0.1538461595773697;375949234;DU
7;0;499.8874206542969;489.779052734375;0.11538462340831757;375949251;DU
7;0;521.2760009765625;443.6159362792969;0.1538461595773697;375949262;DU
8;0;194.66671752929688;760.0918579101563;0.17307692766189575;375949734;DU
8;0;186.08534240722656;714.732421875;0.21153846383094788;375949751;DU
8;0;176.60745239257813;665.323974609375;0.19230769574642181;375949768;DU
8;0;169.1009521484375;621.15625;0.21153846383094788;375949785;DU
8;0;158.168701171875;578.8099975585938;0.19230769574642181;375949801;DU
8;0;142.08631896972656;541.2330322265625;0.19230769574642181;375949818;DU
8;0;129.33737182617188;505.239501953125;0.19230769574642181;375949835;DU
8;0;116.6754379272461;468.1092529296875;0.17307692766189575;375949851;DU
9;0;437.39251708984375;938.2294921875;0.11538462340831757;375950285;DU
9;0;417.5033264160156;876.5355834960938;0.07692307978868484;375950301;DU
9;0;404.8168640136719;801.55859375;0.1538461595773697;375950318;DU
9;0;401.267333984375;733.2000732421875;0.1538461595773697;375950335;DU
9;0;407.3075866699219;680.9654541015625;0.11538462340831757;375950351;DU
9;0;415.19134521484375;643.3271484375;0.1538461595773697;375950368;DU
9;0;421.27569580078125;618.0364379882813;0.11538462340831757;375950385;DU
9;0;427.0940246582031;592.5010986328125;0.17307692766189575;375950401;DU
9;0;432.9766845703125;564.9198608398438;0.13461539149284363;375950418;DU
9;0;445.6697082519531;530.7838745117188;0.17307692766189575;375950435;DU
9;0;461.64910888671875;494.0089111328125;0.17307692766189575;375950451;DU
9;0;476.5154113769531;464.336669921875;0.17307692766189575;375950468;DU
9;0;495.9490661621094;428.4071960449219;0.17307692766189575;375950485;DU
